turn_id,pause_index,p_eot
hi__045,1,0.451510
hi__046,0,0.561495
hi__046,1,0.258683
hi__046,2,0.360600
hi__047,0,0.492312
hi__048,0,0.526147
hi__049,0,0.703030
hi__050,0,0.560129
hi__051,0,0.275050
hi__051,1,0.519450
hi__051,2,0.544570
hi__052,0,0.294493
hi__053,0,0.181899
hi__053,1,0.292378
hi__053,2,0.356349
hi__054,0,0.422504
hi__054,1,0.477244
hi__055,0,0.161340
hi__055,1,0.684498
hi__056,0,0.583786
hi__057,0,0.236441
hi__057,1,0.508328
hi__058,0,0.292695
hi__058,1,0.524431
hi__059,0,0.230418
hi__059,1,0.236269
hi__059,2,0.573453
hi__060,0,0.536302
hi__060,1,0.437321
hi__061,0,0.352366
hi__061,1,0.470697
hi__062,0,0.457906
hi__063,0,0.126922
hi__063,1,0.158010
hi__063,2,0.251406
hi__063,3,0.639541
hi__064,0,0.508565
hi__064,1,0.285237
hi__064,2,0.543083
hi__064,3,0.385622
hi__064,4,0.649854
hi__065,0,0.551483
hi__066,0,0.265752
hi__066,1,0.251511
hi__066,2,0.573178
hi__067,0,0.530612
hi__068,0,0.650385
hi__069,0,0.507650
hi__069,1,0.557864
hi__069,2,0.232851
hi__069,3,0.273471
hi__069,4,0.370593
hi__069,5,0.699785
hi__070,0,0.363431
hi__070,1,0.599199
hi__071,0,0.547659
hi__071,1,0.328222
hi__071,2,0.426558
hi__072,0,0.408187
hi__072,1,0.515926
hi__073,0,0.278445
hi__073,1,0.687249
hi__073,2,0.394090
hi__073,3,0.535180
hi__073,4,0.389656
hi__073,5,0.367425
hi__074,0,0.415659
hi__074,1,0.551741
hi__075,0,0.291074
hi__075,1,0.355710
hi__076,0,0.420508
hi__077,0,0.270429
hi__077,1,0.120445
hi__077,2,0.537096
hi__078,0,0.639819
hi__078,1,0.642308
hi__078,2,0.608794
hi__078,3,0.814376
hi__079,0,0.164191
hi__079,1,0.277608
hi__079,2,0.791199
hi__080,0,0.241044
hi__080,1,0.655997
hi__081,0,0.312466
hi__081,1,0.569258
hi__081,2,0.672907
hi__082,0,0.645429
hi__083,0,0.519018
hi__084,0,0.701225
hi__085,0,0.442361
hi__085,1,0.719917
hi__085,2,0.776594
hi__086,0,0.296408
hi__086,1,0.423182
hi__087,0,0.555374
hi__087,1,0.206498
hi__087,2,0.632987
hi__088,0,0.367172
hi__088,1,0.264474
hi__088,2,0.750371
hi__089,0,0.277360
hi__089,1,0.397445
hi__089,2,0.589307
hi__090,0,0.440166
hi__090,1,0.257835
hi__090,2,0.521673
hi__090,3,0.325083
hi__091,0,0.520804
hi__092,0,0.441873
hi__093,0,0.657938
hi__094,0,0.203226
hi__094,1,0.354012
hi__094,2,0.436487
hi__094,3,0.290734
hi__094,4,0.417226
hi__094,5,0.788366
hi__095,0,0.623492
hi__095,1,0.661422
hi__096,0,0.262927
hi__096,1,0.241598
hi__096,2,0.287071
hi__096,3,0.524453
hi__097,0,0.304767
hi__097,1,0.451365
hi__097,2,0.329719
hi__097,3,0.396537
hi__097,4,0.468090
hi__097,5,0.283621
hi__098,0,0.334794
hi__099,0,0.413751
hi__099,1,0.654659
